C.D.S.  -  SIMBAD4 rel 1.8  -  2025.07.03CEST11:46:20

Vmag < 5 & otype = 'Star'
-------------------------

Number of objects : 1651

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------------|-----|----
922 |HD 114529                          |El?|13 12 17.5729759027 -59 55 14.026825185|4.11     |4.500    |4.593    |6.33     |     ~   |B7V                  |  87 |   0
923 |* alf Del                          |** |20 39 38.2796355689 +15 54 43.776032197|3.550    |3.740    |3.800    |3.77     |3.81     |B9IV                 | 286 |   0
924 |* eta Ser                          |PM*|18 21 18.6004923875 -02 53 55.780691633|4.84     |4.19     |3.25     |2.55     |2.05     |K0III-IV             | 387 |   0
925 |* b And                            |SB*|02 13 13.3221992348 +44 13 53.927938133|     ~   |6.320    |4.826    |     ~   |     ~   |K4-III:              | 112 |   0
926 |* 30 Mon                           |PM*|08 25 39.6318651278 -03 54 23.137987255|3.85     |3.88     |3.90     |3.87     |3.92     |A0Va                 | 284 |   0
927 |* r Pup                            |Be*|08 13 29.5172754003 -35 53 58.265647773|3.68     |4.66     |4.77     |4.68     |4.77     |B1V                  | 194 |   0
928 |* lam CMa                          |*  |06 28 10.2080207479 -32 34 48.246033640|3.70     |4.31     |4.48     |4.54     |4.70     |B4V                  |  82 |   0
929 |* gam Pic                          |PM*|05 49 49.6600647747 -56 09 59.997681333|     ~   |5.589    |4.494    |     ~   |     ~   |K1III                |  83 |   0
930 |* del Ori                          |** |05 32 00.40009 -00 17 56.7424          |0.96     |2.02     |2.41     |2.32     |2.54     |O9.5IINwk            | 788 |   0
931 |* del Phe                          |PM*|01 31 15.1040942588 -49 04 21.730128530|     ~   |4.918    |3.935    |     ~   |     ~   |G8.5IIIb             | 132 |   0
932 |* kap Lep                          |Pu*|05 13 13.8770294280 -12 56 28.652839152|3.92     |4.35     |4.44     |     ~   |     ~   |B7V                  | 104 |   0
933 |* omi Ser                          |dS*|17 41 24.8727234242 -12 52 31.098964726|     ~   |4.310    |4.228    |     ~   |     ~   |A2Va                 |  99 |   0
934 |* 6 CMi                            |V* |07 29 47.7815351384 +12 00 23.627952074|     ~   |5.812    |4.531    |     ~   |     ~   |K1III                | 118 |   0
935 |* omi Pup                          |Be*|07 48 05.1686329933 -25 56 13.810593657|3.42     |4.43     |4.49     |4.37     |4.37     |B1IVe                | 223 |   0
936 |* bet Her                          |SB*|16 30 13.2003216885 +21 29 22.598684027|4.39     |3.70     |2.77     |2.13     |1.65     |G7IIIaFe-0.5         | 327 |   0
937 |* ups Cyg                          |Be*|21 17 55.0858548408 +34 53 48.825463560|3.50     |4.32     |4.42     |4.37     |4.45     |B2Vne                | 318 |   0
938 |* lam Per                          |*  |04 06 35.0425894267 +50 21 04.541423730|4.27     |4.31     |4.29     |4.21     |4.19     |A0IVn                | 114 |   0
939 |* gam02 Nor                        |PM*|16 19 50.4223079953 -50 09 19.821590813|6.27     |5.10     |4.02     |3.24     |2.66     |K0III                |  77 |   0
940 |* tau Cen                          |PM*|12 37 42.1640998080 -48 32 28.699293408|3.94     |3.91     |3.86     |3.81     |3.77     |A1IVnn               | 111 |   0
941 |* eps Sct                          |*  |18 43 31.2509020224 -08 16 30.765630720|     ~   |5.998    |4.889    |     ~   |     ~   |G8IIb                |  93 |   0
942 |* psi Vel A                        |PM*|09 30 41.9257584910 -40 28 00.590987737|     ~   |4.25     |3.91     |     ~   |     ~   |~                    |  20 |   0
943 |* rho Gem                          |PM*|07 29 06.71887 +31 47 04.3773          |4.48     |4.50     |4.18     |3.86     |3.67     |F1V                  | 332 |   0
944 |HD 91312                           |SB*|10 33 13.8899225424 +40 25 31.966831164|     ~   |4.921    |4.715    |     ~   |     ~   |A7IV                 | 103 |   0
945 |* alf UMa B                        |PM*|11 03 43.598848 +61 45 03.14311        |     ~   |5.26     |4.86     |     ~   |     ~   |A7.5                 |   5 |   0
946 |* iot Tri                          |** |02 12 22.28003 +30 18 11.0430          |6.048    |5.741    |4.952    |     ~   |     ~   |G0III+G5III          | 193 |   0
947 |* alf Tel                          |PM*|18 26 58.4164240310 -45 58 06.447916980|2.7      |3.299    |3.463    |     ~   |     ~   |B3IV                 | 143 |   0
948 |* 16 Lib                           |PM*|14 57 10.9988855472 -04 20 47.251261752|4.86     |4.81     |4.49     |4.17     |4.00     |F2V                  | 133 |   0
949 |* kap CMa                          |Be*|06 49 50.4591124672 -32 30 30.523820933|2.73     |3.68     |3.89     |3.91     |4.05     |B1.5Ve               | 292 |   0
950 |* b03 Cyg                          |dS*|20 14 32.0323540824 +36 48 22.700909124|5.10     |5.11     |4.99     |4.79     |4.72     |A2V                  | 271 |   0
951 |* bet Phe                          |** |01 06 05.03952 -46 43 06.2785          |4.75     |4.19     |3.30     |2.59     |2.08     |G8III                |  86 |   0
952 |* 56 Cet                           |PM*|01 56 40.2026205216 -22 31 36.424867800|     ~   |6.27     |4.85     |     ~   |     ~   |K3III                |  35 |   0
953 |HD 36960                           |*  |05 35 02.6823091513 -06 00 07.308349203|3.52     |4.50     |4.72     |     ~   |     ~   |B0.5V                | 277 |   0
954 |* psi01 Lup                        |*  |15 39 45.9793075992 -34 24 42.914876364|     ~   |5.641    |4.661    |     ~   |     ~   |G8/K0III             |  44 |   0
955 |HD 81817                           |SB*|09 37 05.2877790 +81 19 34.971143      |     ~   |5.736    |4.255    |     ~   |     ~   |K3II-III             | 105 |   0
956 |* gam Sge                          |PM*|19 58 45.4282303572 +19 29 31.726069716|6.97     |5.04     |3.47     |2.27     |1.35     |M0-III               | 270 |   0
957 |* 13 Lyr                           |LP*|18 55 20.1023376286 +43 56 45.922489780|7.00     |5.59     |4.00     |1.95     |0.04     |M4.5III              | 321 |   1
958 |* Y Vel                            |PM*|10 31 21.8208713206 -53 42 55.740987419|     ~   |5.39     |4.89     |     ~   |     ~   |F9VFe-0.8CH-0.7      | 165 |   0
959 |* bet Car                          |PM*|09 13 11.97746 -69 43 01.9473          |1.72     |1.69     |1.69     |1.63     |1.61     |A1III-               | 226 |   1
960 |* pi. Aur                          |LP*|05 59 56.0979260520 +45 56 12.245697636|7.80     |5.97     |4.25     |2.56     |1.08     |M3IIb                | 175 |   0
961 |* 2 Sco                            |** |15 53 36.71880 -25 19 37.7087          |3.86     |4.52     |4.59     |     ~   |     ~   |B2.5Vn               | 167 |   0
962 |* a Car                            |SB*|09 10 58.0852959464 -58 58 00.841998284|2.56     |3.25     |3.40     |     ~   |     ~   |B2IV-V               | 146 |   0
963 |* zet Aql                          |PM*|19 05 24.6080155 +13 51 48.518212      |2.99     |3.00     |2.99     |2.98     |2.98     |A0IV-Vnn             | 360 |   0
964 |* h Dra                            |SB*|16 56 01.6911695305 +65 08 05.296785878|     ~   |5.36     |4.88     |4.6      |     ~   |F8V                  | 214 |   0
965 |* ksi01 CMa                        |bC*|06 31 51.3662820799 -23 25 06.319934859|3.10     |4.09     |4.33     |4.45     |4.72     |B0.7IV               | 332 |   0
966 |* k Aqr                            |LP*|20 47 44.2384708427 -05 01 39.724131922|8.04     |6.11     |4.44     |2.97     |1.66     |M3III                | 129 |   0
967 |* nu. UMa                          |*  |11 18 28.7372062295 +33 05 39.501852796|6.44     |4.89     |3.49     |2.43     |1.73     |K3-III:              | 209 |   0
968 |* gam Cir A                        |*  |15 23 22.656792 -59 19 14.52792        |     ~   |4.85     |4.96     |     ~   |     ~   |B3/4V                |  29 |   0
969 |* kap Oph                          |LP?|16 57 40.0975028128 +09 22 30.104472450|5.52     |4.36     |3.20     |2.36     |1.82     |K2III                | 309 |   0
970 |* 39 Eri                           |PM*|04 14 23.6878980552 -10 15 22.620462156|7.18     |6.07     |4.90     |4.01     |3.44     |K2III                | 118 |   0
971 |* 2 Lac                            |SB*|22 21 01.5473008957 +46 32 11.651206597|3.95     |4.431    |4.540    |     ~   |     ~   |B6V                  | 127 |   0
972 |* iot Phe                          |a2*|23 35 04.5603656472 -42 36 54.503275932|4.86     |4.79     |4.71     |4.59     |4.52     |ApSrCrEu             | 124 |   0
973 |* mu. Aqr                          |SB*|20 52 39.2308475831 -08 58 59.978621295|     ~   |5.04     |4.72     |     ~   |     ~   |A3II                 | 120 |   0
974 |* tet Cap                          |PM*|21 05 56.8284751494 -17 13 58.306214724|4.07     |4.06     |4.07     |4.06     |4.08     |A1V                  |  92 |   0
975 |* alf Her A                        |LP*|17 14 38.852741 +14 23 25.33577        |     ~   |4.67     |3.33     |     ~   |     ~   |M5Ib-II              | 444 |   0
976 |* mu. Vel                          |PM*|10 46 46.1750979464 -49 25 12.935780341|4.16     |3.59     |2.69     |2.01     |1.52     |G6III                | 189 |   0
977 |* iot Cen                          |PM*|13 20 35.8128156095 -36 42 44.296492410|2.77     |2.76     |2.73     |2.68     |2.69     |kA1.5hA3mA3Va        | 217 |   0
978 |* nu. Ser                          |*  |17 20 49.6617681937 -12 50 48.753838740|     ~   |4.361    |4.324    |     ~   |     ~   |A0/1V                |  66 |   0
979 |* tau02 Lup                        |** |14 26 10.81378 -45 22 45.4023          |     ~   |4.76     |4.35     |     ~   |     ~   |F7                   |  62 |   0
980 |* kap Sco                          |bC*|17 42 29.27520 -39 01 47.9391          |1.32     |2.211    |2.386    |     ~   |     ~   |B1.5III              | 247 |   0
981 |* 66 Oph                           |Be*|18 00 15.7957050537 +04 22 07.122326765|3.77     |4.58     |4.60     |4.47     |4.49     |B2Ve                 | 352 |   0
982 |* 41 Oph A                         |PM*|17 16 36.687438 -00 26 43.11865        |     ~   |5.98     |4.79     |     ~   |     ~   |~                    |   0 |   0
983 |* zet Ser                          |PM*|18 00 29.0100539320 -03 41 24.977568563|     ~   |4.982    |4.616    |     ~   |     ~   |F2V                  | 200 |   0
984 |* gam Gem                          |SB*|06 37 42.71050 +16 23 57.4095          |1.98     |1.92     |1.92     |1.86     |1.87     |A1.5IV+              | 517 |   1
985 |* iot PsA                          |SB*|21 44 56.8096691227 -33 01 32.814560067|4.18     |4.29     |4.34     |4.35     |4.38     |A0IV                 |  96 |   0
986 |* bet Ori                          |s*b|05 14 32.27210 -08 12 05.8981          |-0.56    |0.10     |0.13     |0.13     |0.15     |B8Ia                 | 775 |   0
987 |V* VZ Cam                          |LP*|07 31 04.4677275984 +82 24 41.281519392|8.42     |6.62     |4.96     |     ~   |     ~   |M4IIIa               |  73 |   0
988 |* bet Cen B                        |*  |14 03 49.309880 -60 22 23.45882        |     ~   |     ~   |3.95     |     ~   |     ~   |~                    |   0 |   0
989 |* 55 Peg                           |V* |23 07 00.2607332832 +09 24 34.173822996|8.020    |6.080    |4.520    |3.25     |2.23     |M1IIIab              | 146 |   0
990 |* lam Peg                          |PM*|22 46 31.8779099972 +23 33 56.361958743|5.93     |5.00     |3.93     |3.16     |2.66     |G8IIIaCN0.5          | 175 |   0
991 |* bet Lyr                          |SB*|18 50 04.7951442356 +33 21 45.600371200|2.85     |3.42     |3.42     |3.31     |3.29     |B8.5Ib-II            | 941 |   0
992 |* eta Pav                          |PM*|17 45 43.9875971845 -64 43 25.937272871|     ~   |4.769    |3.581    |     ~   |     ~   |K2II                 |  51 |   0
993 |* gam CrA                          |** |19 06 25.11014 -37 03 48.3901          |4.75     |4.73     |4.21     |     ~   |     ~   |F8V+F8V              |  57 |   0
994 |* ome Ori                          |Be*|05 39 11.1457980782 +04 07 17.288290296|3.73     |4.48     |4.59     |4.57     |4.67     |B3Ve                 | 417 |   1
995 |* bet PsA                          |PM*|22 31 30.3305233469 -32 20 45.871070532|4.32     |4.30     |4.29     |4.27     |4.25     |A1Va                 |  98 |   0
996 |* 65 And                           |*  |02 25 37.4229761208 +50 16 43.063334724|     ~   |6.249    |4.710    |     ~   |     ~   |K4.5III              |  93 |   0
997 |* iot01 Nor                        |** |16 03 32.08942 -57 46 30.2641          |     ~   |4.89     |4.67     |     ~   |     ~   |A5IVs                |  97 |   0
998 |* 5 Lac                            |s*r|22 29 31.8281552924 +47 42 24.861238614|7.15     |6.05     |4.37     |2.98     |1.91     |K9Ia+B2V             | 146 |   0
999 |* gam Ser                          |PM*|15 56 27.1826577018 +15 39 41.809580382|4.31     |4.34     |3.84     |3.37     |3.13     |F6V                  | 575 |   0
1000|* tet Peg                          |PM*|22 10 11.9886121211 +06 11 52.517717538|3.72     |3.62     |3.55     |3.50     |3.46     |A1Va                 | 192 |   0
1001|* 15 Cyg                           |PM*|19 44 16.6052015928 +37 21 15.682143024|     ~   |5.830    |4.887    |     ~   |     ~   |G8III                | 116 |   0
1002|* b Oph                            |PM*|17 26 22.2165408824 -24 10 31.105002217|     ~   |4.437    |4.153    |     ~   |     ~   |kA5hA9mF1III         | 136 |   0
1003|* ups And                          |PM*|01 36 47.8415443907 +41 24 19.651368029|4.70     |4.64     |4.10     |3.64     |3.35     |F9V                  | 993 |   1
1004|* phi Psc                          |SB*|01 13 44.9460564960 +24 35 01.311416628|6.57     |5.69     |4.66     |3.91     |3.39     |K0III                | 104 |   0
1005|* alf Cen A                        |SB*|14 39 36.49400 -60 50 02.3737          |0.96     |0.72     |0.01     |     ~   |     ~   |G2V                  |1319 |   1
1006|* tau01 Hya                        |SB*|09 29 08.9313661104 -02 46 08.182035516|     ~   |5.06     |4.60     |     ~   |     ~   |F5V                  | 197 |   0
1007|* sig Aur                          |*  |05 24 39.1414789752 +37 23 07.256761044|     ~   |6.435    |4.996    |     ~   |     ~   |K3IIICN+2            |  66 |   0
1008|* gam Cha                          |V* |10 35 28.1055499388 -78 36 28.038741243|7.65     |5.70     |4.12     |2.86     |1.88     |K4III                |  83 |   0
1009|* bet Gru                          |LP?|22 42 40.05027 -46 53 04.4752          |5.33     |3.73     |2.11     |0.20     |-1.57    |M4.5III              | 207 |   1
1010|* n Cen                            |PM*|12 53 26.1917026990 -40 10 44.088744732|4.60     |4.48     |4.27     |4.07     |3.93     |A4IV                 |  97 |   0
1011|* 29 Vul                           |PM*|20 38 31.3388452704 +21 12 04.185221724|4.73     |4.80     |4.82     |4.79     |4.83     |A0Va(_sh)            | 137 |   0
